survived,fare_class,sex,age,fare
died,second,male,42,13
died,second,male,27,13
lived,second,female,24,13
lived,second,female,36,13
died,second,male,25,13
died,second,male,42,13
lived,second,female,42,13
died,second,male,19,13
died,second,male,28,13
died,second,female,30,13
lived,second,female,28,13
died,second,male,32,13
died,second,male,23,13
died,second,male,21,13
died,second,male,18,13
died,second,male,36,13
died,second,female,38,13
lived,second,female,34,13
died,second,male,24,13
died,second,male,34,13
died,second,male,30,13
died,second,male,52,13
died,second,male,30,13
died,second,male,44,13
died,second,female,18,13
died,second,male,36,13
died,second,male,50,13
lived,second,male,42,13
died,second,male,30,13
died,second,male,30,13
died,second,male,39,13
died,second,male,48,13
died,second,male,27,13
died,second,male,26,13
died,second,male,39,13
died,second,male,41,13
lived,second,female,32,13
died,second,male,34,13
lived,second,female,28,13
died,second,male,26,13
died,second,male,25,13
lived,second,female,18,13
lived,second,female,30,13
lived,second,female,40,13
died,second,male,25,13
died,second,male,19,13
died,second,male,23,13
died,second,male,40,13
lived,second,female,33,13
lived,second,male,31,13
lived,second,male,23,13
died,second,female,24,13
lived,third,female,4,13
lived,third,male,39,13
died,second,male,52,14
died,second,male,24,14
lived,second,female,45,14
died,second,male,32,14
died,second,male,28,14
died,second,male,59,14
lived,second,female,26,14
died,third,male,1,14
died,third,female,3,14
died,third,female,26,14
lived,second,female,23,14
lived,second,female,27,14
lived,second,female,30,14
lived,second,male,29,14
lived,second,male,20,14
lived,second,male,24,14
died,third,male,23,14
lived,third,female,22,14
died,second,male,54,14
died,third,male,41,14
lived,third,female,45,14
died,third,male,0,14
died,third,male,34,14
died,third,female,28,14
died,third,female,18,14
died,third,female,45,14
died,third,male,26,14
died,third,male,18,14
died,third,male,22,14
died,third,female,22,14
died,third,male,27,14
lived,third,female,15,14
died,third,female,15,14
died,third,female,23,14
died,third,female,17,14
died,third,male,24,14
died,third,female,35,14
died,third,male,34,14
lived,second,male,1,15
lived,second,female,24,15
died,third,male,31,15
died,third,male,19,15
died,third,male,35,15
died,third,female,44,15
died,third,male,50,15
died,third,female,47,15
died,third,male,19,15
died,third,male,12,15
died,third,male,41,15
died,second,male,47,15
died,second,male,27,15
died,second,male,22,15
died,second,male,23,15
died,second,male,41,15
died,second,male,44,15
died,third,male,41,15
died,third,male,43,15
died,third,male,6,15
died,third,female,9,15
died,third,female,40,15
lived,third,male,16,15
lived,third,male,29,15
lived,third,female,40,15
lived,third,male,7,15
lived,third,female,9,15
lived,third,female,29,15
died,third,male,40,16
died,third,female,32,16
died,third,female,33,16
died,third,male,39,16
died,third,male,17,16
lived,third,female,34,16
lived,third,female,43,16
lived,third,female,41,16
died,third,male,16,16
lived,third,female,38,16
died,third,male,36,16
died,third,female,30,16
died,second,male,35,16
lived,third,female,1,16
lived,third,male,20,16
lived,third,female,19,16
lived,second,female,12,16
lived,second,female,40,16
died,third,male,32,16
lived,third,female,33,16
died,third,male,28,16
lived,third,female,24,16
lived,third,male,9,16
lived,third,male,3,16
lived,third,female,36,16
lived,second,female,55,16
died,second,male,40,16
died,third,male,21,16
lived,third,female,17,16
died,third,male,44,16
died,third,male,39,16
lived,third,female,35,16
died,third,male,30,16
died,third,female,26,16
died,third,male,24,16
died,third,female,19,16
died,third,male,36,16
lived,third,female,26,16
died,third,male,29,16
lived,third,female,1,17
lived,third,female,24,17
lived,third,female,4,17
lived,third,male,37,17
lived,third,female,36,17
died,third,male,25,18
died,third,female,18,18
died,third,female,18,18
died,third,male,31,18
died,third,male,16,18
died,third,female,31,18
lived,second,male,1,19
lived,second,male,3,19
lived,second,female,24,19
lived,third,male,26,19
died,third,male,11,19
lived,third,female,1,19
lived,third,female,1,19
lived,third,female,5,19
lived,third,female,24,19
lived,second,female,13,20
lived,second,female,41,20
died,third,male,39,20
died,third,male,35,20
died,third,female,2,20
died,third,male,18,20
died,third,female,41,20
died,third,male,13,20
died,third,male,16,20
lived,third,female,35,20
lived,third,male,9,21
died,third,male,33,21
lived,third,female,31,21
lived,third,male,1,21
lived,third,female,0,21
died,third,male,26,21
lived,third,female,33,21
lived,second,female,35,21
died,second,female,36,21
died,second,male,38,21
died,second,male,34,21
died,second,female,22,21
lived,second,female,21,21
died,second,male,43,21
died,second,male,34,21
lived,second,female,30,21
died,second,male,29,21
died,second,female,27,21
lived,second,female,31,21
died,second,male,30,21
lived,second,female,31,21
died,third,male,2,21
died,third,male,6,21
died,third,female,3,21
died,third,female,8,21
died,third,female,29,21
died,third,male,39,22
died,third,male,34,22
died,third,male,35,22
lived,third,female,4,22
lived,third,male,29,22
lived,third,female,26,22
lived,third,male,32,22
lived,third,female,30,22
lived,third,female,22,22
died,third,male,32,23
died,third,male,28,23
died,third,male,28,23
lived,second,female,18,23
lived,second,female,34,23
lived,second,female,20,23
lived,second,female,54,23
lived,second,male,2,23
lived,second,female,4,23
lived,second,female,29,23
lived,third,female,17,23
lived,third,female,20,23
lived,third,male,27,23
died,third,male,33,23
died,third,female,40,23
died,third,male,30,23
died,third,female,39,23
died,second,male,30,24
lived,second,female,28,24
died,third,male,24,24
died,third,male,21,24
died,third,male,39,24
lived,third,female,39,24
died,third,male,21,24
died,third,male,33,24
died,third,female,10,24
died,third,male,36,24
died,third,female,30,24
died,first,female,25,25
died,third,male,39,25
died,third,female,20,25
died,third,female,20,25
died,third,female,40,25
died,third,female,24,25
died,first,male,47,26
lived,first,female,55,26
lived,first,male,42,26
died,first,male,40,26
lived,first,female,49,26
lived,first,female,48,26
died,first,male,25,26
died,first,male,49,26
died,first,male,46,26
died,first,male,50,26
died,first,male,30,26
died,first,male,64,26
lived,first,male,32,26
died,first,male,22,26
died,second,male,34,26
lived,second,female,36,26
lived,second,male,32,26
lived,second,female,19,26
died,second,male,28,26
lived,second,female,20,26
died,second,male,25,26
died,second,female,44,26
died,second,male,54,26
died,second,male,37,26
died,second,female,29,26
died,second,male,29,26
lived,second,female,28,26
died,second,male,54,26
died,second,male,40,26
lived,second,female,29,26
died,second,male,35,26
died,second,male,16,26
died,second,male,44,26
lived,second,female,29,26
died,second,male,63,26
died,second,female,60,26
died,second,male,34,26
lived,second,female,24,26
died,second,female,26,26
died,second,male,30,26
died,second,male,50,26
lived,second,female,42,26
died,second,male,46,26
died,second,male,39,26
lived,second,male,2,26
lived,second,male,3,26
died,second,male,37,26
lived,second,female,50,26
lived,second,female,19,26
lived,second,female,2,26
lived,second,female,8,26
lived,second,female,33,26
died,second,male,27,26
lived,second,female,25,26
died,second,male,27,26
lived,second,female,29,26
lived,second,female,8,26
died,second,male,31,26
lived,second,female,31,26
lived,second,female,7,26
died,second,male,43,26
lived,second,female,45,26
lived,first,female,19,26
lived,first,male,42,26
lived,first,male,36,26
lived,first,male,35,26
lived,first,male,36,26
lived,first,male,28,27
lived,first,female,58,27
died,first,male,42,27
lived,first,male,27,27
died,first,male,45,27
died,first,male,44,27
lived,first,female,64,27
lived,first,male,51,27
died,first,male,17,27
lived,first,male,35,27
died,first,male,44,27
died,first,male,42,27
died,first,male,65,27
lived,first,male,45,27
died,first,male,33,27
lived,first,male,34,27
died,first,male,56,27
died,first,male,62,27
died,first,male,60,27
lived,first,female,21,27
died,first,male,62,27
died,second,male,42,27
lived,second,female,24,27
lived,first,female,53,27
lived,first,female,44,28
lived,first,female,33,28
lived,first,male,43,28
died,first,male,22,28
lived,first,female,55,28
died,first,male,29,28
lived,first,female,33,28
died,first,male,32,28
died,first,male,40,28
died,second,male,29,28
lived,second,female,24,28
died,first,male,30,28
lived,second,female,1,28
lived,second,female,5,28
died,second,male,36,28
lived,second,female,33,28
died,third,male,4,28
died,third,male,10,28
died,third,female,9,28
died,third,female,2,28
died,third,male,40,28
died,third,female,45,28
lived,first,male,53,29
died,first,male,46,29
lived,first,male,31,29
died,first,female,50,29
lived,first,female,29,29
lived,second,male,1,29
lived,second,male,26,29
lived,second,female,22,29
died,third,male,10,29
died,third,male,4,29
died,third,male,7,29
died,third,male,2,29
died,third,male,8,29
died,third,female,39,29
lived,first,male,45,30
died,first,male,39,30
died,first,male,58,30
lived,first,male,30,30
died,first,male,37,30
died,first,male,30,30
lived,first,male,80,30
lived,first,male,26,30
lived,first,female,19,30
lived,first,male,40,30
died,first,male,29,30
lived,second,female,25,30
lived,second,female,45,30
died,second,male,33,30
lived,second,female,14,30
died,first,male,41,31
lived,first,male,27,31
died,first,male,55,31
lived,first,male,52,31
lived,first,male,36,31
lived,first,male,32,31
died,first,male,28,31
died,first,male,56,31
lived,first,male,40,31
died,first,male,23,31
lived,first,female,30,31
died,third,male,4,31
died,third,female,6,31
died,third,female,2,31
died,third,female,9,31
died,third,female,11,31
died,third,male,39,31
died,third,female,39,31
died,third,male,5,31
died,third,male,9,31
lived,third,male,3,31
died,third,male,13,31
lived,third,female,5,31
died,third,male,40,31
lived,third,female,38,31
died,second,male,25,32
died,second,male,24,32
died,second,male,22,32
died,first,female,36,32
lived,first,female,22,32
died,first,male,61,32
lived,second,male,8,33
died,second,male,42,33
lived,second,female,34,33
lived,second,female,6,33
died,second,male,28,33
lived,second,female,28,33
died,first,male,61,34
died,first,male,47,34
died,third,female,21,34
died,third,female,9,34
died,third,male,18,34
died,third,male,16,34
died,third,female,48,34
died,first,male,71,35
died,first,male,37,35
died,first,male,45,36
lived,first,male,56,36
lived,first,male,28,36
lived,first,male,16,36
lived,second,male,8,37
lived,second,female,48,37
died,second,male,19,37
lived,second,female,20,37
lived,second,male,1,37
died,second,male,31,37
lived,second,female,24,37
died,first,male,47,39
lived,second,male,1,39
lived,second,female,4,39
lived,second,female,12,39
lived,second,female,36,39
lived,second,female,15,39
died,second,male,60,39
lived,second,female,40,39
lived,first,female,16,39
lived,first,female,51,39
died,first,male,18,40
lived,first,female,48,40
lived,first,male,20,40
died,third,male,1,40
died,third,male,7,40
died,third,male,2,40
died,third,male,16,40
died,third,male,14,40
died,third,female,41,40
died,third,female,22,40
died,first,male,36,40
lived,second,female,1,42
lived,second,female,3,42
died,second,male,25,42
lived,second,female,22,42
died,first,male,38,42
died,first,male,47,42
died,first,male,42,43
died,first,male,30,46
died,third,male,9,47
died,third,male,1,47
died,third,male,11,47
died,third,female,10,47
died,third,female,16,47
died,third,male,14,47
died,third,male,40,47
died,third,female,43,47
died,first,male,28,47
died,first,male,17,47
lived,first,male,48,48
lived,first,female,22,50
died,first,male,71,50
lived,first,female,24,50
died,first,male,55,50
died,first,male,41,50
died,first,male,48,50
died,first,male,31,50
lived,first,female,53,51
lived,first,female,59,51
died,first,male,19,52
died,first,male,41,52
lived,first,female,38,52
died,first,male,54,52
died,first,male,17,52
died,first,male,31,52
lived,first,female,27,52
died,first,male,42,52
lived,first,female,35,52
died,first,male,47,52
lived,first,male,48,52
lived,first,female,33,52
lived,first,male,37,53
lived,first,female,47,53
lived,first,male,42,53
lived,first,female,45,53
lived,first,male,27,53
lived,first,female,33,53
died,first,male,37,53
lived,first,female,35,53
died,first,male,19,53
lived,first,female,18,53
lived,first,female,22,55
lived,first,female,36,55
lived,first,male,25,55
lived,first,female,25,55
lived,first,male,54,55
lived,first,female,43,55
died,first,male,50,56
lived,first,female,39,56
lived,third,male,32,56
lived,third,male,32,56
lived,third,male,16,56
lived,third,male,20,56
lived,third,male,26,56
died,third,male,25,56
lived,third,male,26,56
died,third,male,28,56
lived,first,male,49,57
lived,first,female,30,57
lived,first,male,31,57
lived,first,female,17,57
lived,first,male,30,58
lived,first,female,35,58
lived,first,female,16,58
lived,first,female,44,58
lived,first,female,22,59
lived,first,female,45,59
died,first,male,55,59
lived,first,female,54,59
died,first,male,24,60
lived,first,female,18,60
died,first,male,46,61
lived,first,female,47,61
died,first,male,51,61
lived,first,male,21,61
lived,first,female,22,62
died,first,male,65,62
lived,first,female,63,63
lived,first,male,23,63
lived,first,female,45,63
lived,second,female,24,65
lived,second,female,24,65
died,second,male,49,65
lived,second,female,48,65
died,second,male,14,65
died,first,male,29,67
lived,first,female,22,67
lived,first,female,24,69
lived,first,female,24,69
died,third,male,32,70
died,third,male,15,70
died,third,female,27,70
died,third,female,28,70
died,third,female,27,70
died,third,female,35,70
died,third,male,33,70
died,third,male,28,70
died,third,male,29,70
died,third,male,16,70
died,third,female,36,70
died,first,male,70,71
lived,first,female,36,71
died,first,male,39,71
lived,first,female,38,71
died,second,male,18,74
died,second,male,17,74
died,second,male,18,74
died,second,male,24,74
died,second,male,32,74
died,second,male,21,74
died,second,male,21,74
died,first,male,36,75
died,first,male,46,75
died,first,male,64,75
lived,first,female,60,75
lived,first,female,32,76
lived,first,female,60,76
lived,first,male,48,77
lived,first,female,49,77
lived,first,male,27,77
died,first,male,54,77
died,first,male,21,77
lived,first,female,51,78
lived,first,female,21,78
lived,first,female,54,78
lived,first,female,52,78
lived,first,female,26,79
died,first,male,36,79
lived,first,female,76,79
lived,first,male,60,79
lived,first,female,48,79
died,first,male,24,79
died,first,male,46,79
died,first,male,46,79
lived,first,female,25,79
lived,first,female,18,80
died,first,male,52,80
lived,first,female,39,80
lived,first,female,38,80
lived,first,female,62,80
lived,first,male,53,82
lived,first,male,4,82
lived,first,female,54,82
died,first,male,28,82
lived,first,female,25,82
lived,first,male,24,82
lived,first,female,23,82
lived,first,female,39,83
died,first,male,37,83
lived,first,female,64,83
lived,first,female,23,83
lived,first,female,24,83
lived,first,female,56,83
died,first,male,45,83
lived,first,female,35,83
lived,first,female,30,87
lived,first,female,16,87
lived,first,female,33,87
lived,first,male,49,89
lived,first,female,43,89
lived,first,male,38,90
lived,first,female,35,90
died,first,male,44,90
lived,first,female,33,90
lived,first,female,37,90
lived,first,male,25,91
lived,first,female,19,91
died,first,male,55,94
lived,first,female,52,94
died,first,male,23,94
lived,first,female,30,94
died,first,male,50,106
lived,first,female,48,106
lived,first,female,30,106
lived,first,female,39,109
died,first,male,18,109
lived,first,female,17,109
lived,first,female,32,111
died,first,male,49,111
lived,first,male,17,111
lived,first,female,39,111
lived,first,female,31,113
lived,first,female,23,113
died,first,male,58,113
lived,first,male,11,120
lived,first,female,14,120
lived,first,male,36,120
lived,first,female,36,120
lived,first,male,50,134
lived,first,female,31,134
lived,first,female,41,135
lived,first,male,6,135
lived,first,male,45,135
lived,first,female,40,135
lived,first,female,31,135
lived,first,female,35,136
died,first,male,22,136
lived,first,female,55,136
lived,first,female,36,136
died,first,male,27,137
lived,first,female,26,137
lived,first,female,58,147
died,first,male,57,147
lived,first,female,24,147
lived,first,female,22,152
lived,first,female,33,152
died,first,male,38,153
lived,first,female,58,153
lived,first,female,40,153
lived,first,female,30,165
lived,first,female,31,165
died,first,male,57,165
lived,first,female,45,165
lived,first,female,39,211
lived,first,female,15,211
lived,first,female,43,211
lived,first,female,35,212
died,first,male,33,212
died,first,male,50,212
died,first,male,27,212
lived,first,female,50,212
lived,first,female,29,222
died,first,male,17,222
died,first,male,67,222
died,first,female,63,222
died,first,male,47,228
lived,first,female,18,228
lived,first,female,42,228
lived,first,female,38,228
died,first,male,41,228
died,first,male,24,248
lived,first,female,50,248
lived,first,female,27,248
lived,first,female,45,262
lived,first,female,36,262
lived,first,male,13,262
lived,first,female,18,262
lived,first,female,21,262
died,first,male,61,262
lived,first,female,48,262
lived,first,female,24,263
lived,first,female,28,263
lived,first,female,23,263
died,first,male,19,263
died,first,male,64,263
lived,first,female,60,263
lived,first,male,36,512
lived,first,female,58,512
lived,first,male,35,512
lived,first,female,35,512
